ROK,WEB_PUBL_DATE,MENA,R1_AREA,R1_POPIS_LNG,S1_POPIS_LNG,H_HODNOTA_PUBL
2017,2019-03-15 10:00:00,EUR,W1,REST OF THE WORLD,Reinvestment of earnings,55305.6596989832
2017,2019-03-15 10:00:00,USD,W1,REST OF THE WORLD,Reinvestment of earnings,66342.8936504641
2018,2020-03-13 10:00:00,CZK,W1,REST OF THE WORLD,Reinvestment of earnings,1538676.50721061
2018,2020-03-13 10:00:00,EUR,W1,REST OF THE WORLD,Reinvestment of earnings,59812.4978507525
2018,2020-03-13 10:00:00,USD,W1,REST OF THE WORLD,Reinvestment of earnings,68489.117208698
2019,2021-03-16 10:00:00,CZK,W1,REST OF THE WORLD,Reinvestment of earnings,1574898.43095553
2019,2021-03-16 10:00:00,EUR,W1,REST OF THE WORLD,Reinvestment of earnings,61979.4738668055
2019,2021-03-16 10:00:00,USD,W1,REST OF THE WORLD,Reinvestment of earnings,69621.079128046
2020,2022-03-23 10:00:00,CZK,W1,REST OF THE WORLD,Reinvestment of earnings,1608799.54498785
2020,2022-03-23 10:00:00,EUR,W1,REST OF THE WORLD,Reinvestment of earnings,61299.2777667309
2020,2022-03-23 10:00:00,USD,W1,REST OF THE WORLD,Reinvestment of earnings,75223.2451951116
2021,2023-03-23 10:00:00,CZK,W1,REST OF THE WORLD,Reinvestment of earnings,1717600.33527883
2021,2023-03-23 10:00:00,EUR,W1,REST OF THE WORLD,Reinvestment of earnings,69090.9225775878
2021,2023-03-23 10:00:00,USD,W1,REST OF THE WORLD,Reinvestment of earnings,78247.0199662354
2014,2016-03-22 10:00:00,CZK,W1,REST OF THE WORLD,Other capital,251767.895556
2014,2016-03-22 10:00:00,EUR,W1,REST OF THE WORLD,Other capital,9080.89794611362
2014,2016-03-22 10:00:00,USD,W1,REST OF THE WORLD,Other capital,11026.0092649558
2015,2017-03-21 10:00:00,CZK,W1,REST OF THE WORLD,Other capital,177488.95493663
2015,2017-03-21 10:00:00,EUR,W1,REST OF THE WORLD,Other capital,6567.58390144792
2015,2017-03-21 10:00:00,USD,W1,REST OF THE WORLD,Other capital,7149.89344733443
2016,2018-03-16 10:00:00,CZK,W1,REST OF THE WORLD,Other capital,245154.046411
2016,2018-03-16 10:00:00,EUR,W1,REST OF THE WORLD,Other capital,9073.05871247224
2016,2018-03-16 10:00:00,USD,W1,REST OF THE WORLD,Other capital,9561.76318932096
2017,2019-03-15 10:00:00,CZK,W1,REST OF THE WORLD,Other capital,249895.9992454
2017,2019-03-15 10:00:00,EUR,W1,REST OF THE WORLD,Other capital,9784.49488039937
2017,2019-03-15 10:00:00,USD,W1,REST OF THE WORLD,Other capital,11737.1659032173
2018,2020-03-13 10:00:00,CZK,W1,REST OF THE WORLD,Other capital,373483.0897916
2018,2020-03-13 10:00:00,EUR,W1,REST OF THE WORLD,Other capital,14518.2930919961
2018,2020-03-13 10:00:00,USD,W1,REST OF THE WORLD,Other capital,16624.3697049586
2019,2021-03-16 10:00:00,CZK,W1,REST OF THE WORLD,Other capital,405378.2161296
2019,2021-03-16 10:00:00,EUR,W1,REST OF THE WORLD,Other capital,15953.4913864463
2019,2021-03-16 10:00:00,USD,W1,REST OF THE WORLD,Other capital,17920.4374753371
2020,2022-03-23 10:00:00,CZK,W1,REST OF THE WORLD,Other capital,461704.82154571
2020,2022-03-23 10:00:00,EUR,W1,REST OF THE WORLD,Other capital,17592.1059838335
2020,2022-03-23 10:00:00,USD,W1,REST OF THE WORLD,Other capital,21588.1059309726
2021,2023-03-23 10:00:00,CZK,W1,REST OF THE WORLD,Other capital,446057.3325192
2021,2023-03-23 10:00:00,EUR,W1,REST OF THE WORLD,Other capital,17942.7728286082
2021,2023-03-23 10:00:00,USD,W1,REST OF THE WORLD,Other capital,20320.5927984693
2014,2016-03-22 10:00:00,CZK,W1,REST OF THE WORLD,Sum,2774600.84552492
2014,2016-03-22 10:00:00,EUR,W1,REST OF THE WORLD,Sum,100075.774410277
2014,2016-03-22 10:00:00,USD,W1,REST OF THE WORLD,Sum,121511.817707144
2015,2017-03-21 10:00:00,CZK,W1,REST OF THE WORLD,Sum,2895168.86707788
2015,2017-03-21 10:00:00,EUR,W1,REST OF THE WORLD,Sum,107129.28277809
2015,2017-03-21 10:00:00,USD,W1,REST OF THE WORLD,Sum,116627.814497175
2016,2018-03-16 10:00:00,CZK,W1,REST OF THE WORLD,Sum,3124230.64059961
2016,2018-03-16 10:00:00,EUR,W1,REST OF THE WORLD,Sum,115626.596617306
2016,2018-03-16 10:00:00,USD,W1,REST OF THE WORLD,Sum,121854.621498483
2017,2019-03-15 10:00:00,CZK,W1,REST OF THE WORLD,Sum,3321271.06559612
2017,2019-03-15 10:00:00,EUR,W1,REST OF THE WORLD,Sum,130041.936789198
2017,2019-03-15 10:00:00,USD,W1,REST OF THE WORLD,Sum,155994.132055616
2018,2020-03-13 10:00:00,CZK,W1,REST OF THE WORLD,Sum,3689468.57017796
2018,2020-03-13 10:00:00,EUR,W1,REST OF THE WORLD,Sum,143419.575128395
2018,2020-03-13 10:00:00,USD,W1,REST OF THE WORLD,Sum,164224.542427578
2019,2021-03-16 10:00:00,CZK,W1,REST OF THE WORLD,Sum,3875740.54599144
2019,2021-03-16 10:00:00,EUR,W1,REST OF THE WORLD,Sum,152528.160015405
2019,2021-03-16 10:00:00,USD,W1,REST OF THE WORLD,Sum,171333.740594644
2020,2022-03-23 10:00:00,CZK,W1,REST OF THE WORLD,Sum,4175590.50539931
2020,2022-03-23 10:00:00,EUR,W1,REST OF THE WORLD,Sum,159100.41933318
2020,2022-03-23 10:00:00,USD,W1,REST OF THE WORLD,Sum,195239.655183023
2021,2023-03-23 10:00:00,CZK,W1,REST OF THE WORLD,Sum,4400464.00237869
2021,2023-03-23 10:00:00,EUR,W1,REST OF THE WORLD,Sum,177009.815059481
2021,2023-03-23 10:00:00,USD,W1,REST OF THE WORLD,Sum,200467.587006455
2014,2016-03-22 10:00:00,CZK,E1,EUROPE,Registered capital,1230205.40066734
2014,2016-03-22 10:00:00,EUR,E1,EUROPE,Registered capital,44371.7006552693
2014,2016-03-22 10:00:00,USD,E1,EUROPE,Registered capital,53876.0357654087
2015,2017-03-21 10:00:00,CZK,E1,EUROPE,Registered capital,1375799.72944879
2015,2017-03-21 10:00:00,EUR,E1,EUROPE,Registered capital,50908.4081202142
2015,2017-03-21 10:00:00,USD,E1,EUROPE,Registered capital,55422.1611927485
2016,2018-03-16 10:00:00,CZK,E1,EUROPE,Registered capital,1452238.04181195
2016,2018-03-16 10:00:00,EUR,E1,EUROPE,Registered capital,53746.7817102868
