"","cal_yr","gp","country","npos","nneg","nneu","nmention","log_senti","add_senti"
"81",2009,"USA","Croatia",41,8,42,91,1.58562726374038,0.362637362637363
"82",2009,"UK","Croatia",7,1,12,20,1.6094379124341,0.3
"83",2009,"CN","Croatia",15,2,4,21,1.82454929205105,0.619047619047619
"84",2009,"RU","Croatia",21,1,10,32,2.66258782702545,0.625
"85",2008,"OTHER","Croatia",18005,17890,40654,76549,0.0064074210744322,0.00150230571268077
"86",2008,"FR","Croatia",23,1,63,87,2.75153531304195,0.252873563218391
"87",2008,"DE","Croatia",60,12,42,114,1.57691472072854,0.421052631578947
"88",2008,"RU","Croatia",9,2,8,19,1.33500106673234,0.368421052631579
"89",2008,"UK","Croatia",8,1,6,15,1.73460105538811,0.466666666666667
"90",2008,"USA","Croatia",24,2,42,68,2.28238238567653,0.323529411764706
"91",2008,"CN","Croatia",17,1,8,26,2.4567357728213,0.615384615384615
"92",2007,"OTHER","Croatia",13703,10325,22815,46843,0.283034710833884,0.0721132292978673
"93",2007,"CN","Croatia",13,2,8,23,1.68639895357023,0.478260869565217
"94",2007,"UK","Croatia",7,0,11,18,2.70805020110221,0.388888888888889
"95",2007,"USA","Croatia",24,1,36,61,2.79320800944252,0.377049180327869
"96",2007,"FR","Croatia",10,1,7,18,1.94591014905531,0.5
"97",2007,"DE","Croatia",22,9,42,73,0.862223510603879,0.178082191780822
"98",2007,"RU","Croatia",19,1,21,41,2.56494935746154,0.439024390243902
"99",2006,"OTHER","Croatia",22266,15549,34318,72133,0.359054823049092,0.093119653972523
"100",2006,"FR","Croatia",29,0,12,41,4.07753744390572,0.707317073170732
"101",2006,"DE","Croatia",46,6,36,88,1.96765013569172,0.454545454545455
"102",2006,"UK","Croatia",10,1,8,19,1.94591014905531,0.473684210526316
"103",2006,"USA","Croatia",29,2,34,65,2.46809953147162,0.415384615384615
"104",2006,"CN","Croatia",10,0,6,16,3.04452243772342,0.625
"105",2006,"RU","Croatia",12,1,9,22,2.12026353620009,0.5
"106",2005,"OTHER","Croatia",22149,13174,32605,67928,0.519531779829787,0.132125191379107
"107",2005,"DE","Croatia",37,4,25,66,2.12026353620009,0.5
"108",2005,"USA","Croatia",40,3,63,106,2.44853900561713,0.349056603773585
"109",2005,"CN","Croatia",7,2,3,12,1.09861228866811,0.416666666666667
"110",2005,"FR","Croatia",16,1,8,25,2.39789527279837,0.6
"111",2005,"RU","Croatia",14,0,7,21,3.36729582998647,0.666666666666667
"112",2005,"UK","Croatia",13,0,7,20,3.29583686600433,0.65
"113",2004,"OTHER","Croatia",24789,15603,37067,77459,0.4629249283554,0.118591771130534
"114",2004,"DE","Croatia",26,5,31,62,1.57239664075375,0.338709677419355
"115",2004,"RU","Croatia",17,0,7,24,3.55534806148941,0.708333333333333
"116",2004,"FR","Croatia",27,0,15,42,4.00733318523247,0.642857142857143
"117",2004,"USA","Croatia",29,1,43,73,2.97892515523761,0.383561643835616
"118",2004,"CN","Croatia",7,2,4,13,1.09861228866811,0.384615384615385
"119",2004,"UK","Croatia",7,0,3,10,2.70805020110221,0.7
"120",2003,"OTHER","Croatia",139,226,728,1093,-0.484680343661668,-0.0795974382433669
"121",2003,"DE","Croatia",0,0,1,1,0,0
