"","cal_yr","gp","country","npos","nneg","nneu","nmention","log_senti","add_senti"
"79",2005,"CN","Hungary",38,24,24,86,0.451985123743057,0.162790697674419
"80",2005,"DE","Hungary",112,90,102,304,0.217603370938594,0.0723684210526316
"81",2005,"USA","Hungary",47,22,139,208,0.747214401830221,0.120192307692308
"82",2005,"FR","Hungary",84,5,91,180,2.7320034421247,0.438888888888889
"83",2005,"RU","Hungary",77,35,69,181,0.780745239877931,0.232044198895028
"84",2005,"UK","Hungary",35,19,58,112,0.599118230911669,0.142857142857143
"85",2006,"OTHER","Hungary",14728,19398,34912,69038,-0.275411351197023,-0.0676439062545265
"86",2006,"FR","Hungary",17,4,56,77,1.35812348415319,0.168831168831169
"87",2006,"DE","Hungary",29,42,39,110,-0.365113812584597,-0.118181818181818
"88",2006,"RU","Hungary",26,14,35,75,0.602996083565648,0.16
"89",2006,"USA","Hungary",32,20,89,141,0.460815203191329,0.0851063829787234
"90",2006,"UK","Hungary",12,5,26,43,0.82098055206983,0.162790697674419
"91",2006,"CN","Hungary",11,6,4,21,0.570544858467613,0.238095238095238
"92",2007,"OTHER","Hungary",21585,29753,54068,105406,-0.320924979157014,-0.0774908449234389
"93",2007,"UK","Hungary",31,21,22,74,0.38193461069797,0.135135135135135
"94",2007,"FR","Hungary",38,9,65,112,1.39936644268724,0.258928571428571
"95",2007,"USA","Hungary",34,25,110,169,0.302280871872934,0.0532544378698225
"96",2007,"DE","Hungary",45,68,68,181,-0.409121419311275,-0.12707182320442
"97",2007,"CN","Hungary",14,9,22,45,0.422856850820034,0.111111111111111
"98",2007,"RU","Hungary",62,26,50,138,0.858021823750179,0.260869565217391
"99",2008,"OTHER","Hungary",19924,27687,47775,95386,-0.329030917546824,-0.0813851089258382
"100",2008,"UK","Hungary",30,21,49,100,0.349673748479749,0.09
"101",2008,"FR","Hungary",53,4,82,139,2.47560425712569,0.352517985611511
"102",2008,"USA","Hungary",78,10,142,230,2.01172336762489,0.295652173913043
"103",2008,"DE","Hungary",53,76,70,199,-0.357609086930529,-0.115577889447236
"104",2008,"RU","Hungary",39,25,46,110,0.437622219742696,0.127272727272727
"105",2008,"CN","Hungary",37,23,61,121,0.467340511826252,0.115702479338843
"106",2009,"OTHER","Hungary",19448,26233,42546,88227,-0.299267273707349,-0.0769038956328562
"107",2009,"USA","Hungary",59,15,107,181,1.34513628862638,0.243093922651934
"108",2009,"DE","Hungary",57,60,70,187,-0.050858417233491,-0.0160427807486631
"109",2009,"RU","Hungary",40,39,19,98,0.0250013022054172,0.0102040816326531
"110",2009,"UK","Hungary",23,11,35,69,0.714653385780909,0.173913043478261
"111",2009,"FR","Hungary",34,5,60,99,1.83621123179889,0.292929292929293
"112",2009,"CN","Hungary",24,16,32,72,0.395312736644146,0.111111111111111
"113",2010,"OTHER","Hungary",26956,33305,56154,116415,-0.21149809285525,-0.0545376454924194
"114",2010,"UK","Hungary",46,23,35,104,0.682451891443197,0.221153846153846
"115",2010,"USA","Hungary",78,33,129,240,0.851553185957342,0.1875
"116",2010,"FR","Hungary",41,17,96,154,0.863492546307184,0.155844155844156
"117",2010,"DE","Hungary",46,53,64,163,-0.14022934130865,-0.0429447852760736
"118",2010,"CN","Hungary",28,17,18,63,0.487703206345136,0.174603174603175
"119",2010,"RU","Hungary",49,21,45,115,0.833919734441028,0.243478260869565
"120",2011,"OTHER","Hungary",49262,56103,92627,197992,-0.130035056653242,-0.0345519010869126
"121",2011,"RU","Hungary",85,35,59,179,0.878983679461344,0.279329608938547
"122",2011,"UK","Hungary",67,48,91,206,0.330563799935047,0.0922330097087379
"123",2011,"USA","Hungary",145,39,212,396,1.30387541470447,0.267676767676768
"124",2011,"DE","Hungary",94,108,132,334,-0.138150338480817,-0.0419161676646707
"125",2011,"CN","Hungary",70,34,48,152,0.714653385780909,0.236842105263158
"126",2011,"FR","Hungary",67,13,116,196,1.6094379124341,0.275510204081633
"127",2012,"OTHER","Hungary",47576,50144,84972,182692,-0.0525698955569465,-0.0140564447266437
"128",2012,"FR","Hungary",76,13,124,213,1.73460105538811,0.295774647887324
"129",2012,"DE","Hungary",130,134,192,456,-0.0301909722791457,-0.0087719298245614
"130",2012,"RU","Hungary",89,44,110,243,0.698749436108615,0.185185185185185
"131",2012,"CN","Hungary",29,22,19,70,0.2708749541354,0.1
"132",2012,"USA","Hungary",78,31,160,269,0.913111078956775,0.174721189591078
"133",2012,"UK","Hungary",37,24,87,148,0.425667815425684,0.0878378378378378
"134",2013,"OTHER","Hungary",39824,44686,76058,160568,-0.115189141791977,-0.0302800059787753
"135",2013,"FR","Hungary",67,6,94,167,2.34032542097689,0.365269461077844
"136",2013,"RU","Hungary",86,34,80,200,0.91918508990052,0.26
"137",2013,"USA","Hungary",87,33,148,268,0.960093354532548,0.201492537313433
"138",2013,"CN","Hungary",35,15,31,81,0.828692672556169,0.246913580246914
"139",2013,"UK","Hungary",69,38,103,210,0.590668511277008,0.147619047619048
"140",2013,"DE","Hungary",103,96,106,305,0.0700286043604836,0.0229508196721311
"141",2014,"OTHER","Hungary",22590,23483,40543,86616,-0.038768582961036,-0.0103098734644869
"142",2014,"RU","Hungary",324,128,154,606,0.92635663180887,0.323432343234323
"143",2014,"CN","Hungary",23,22,40,85,0.0434851119397389,0.0117647058823529
"144",2014,"UK","Hungary",30,22,42,94,0.304211374402992,0.0851063829787234
"145",2014,"DE","Hungary",64,53,80,197,0.186983569899766,0.0558375634517767
"146",2014,"FR","Hungary",27,2,50,79,2.39789527279837,0.316455696202532
"147",2014,"USA","Hungary",154,39,218,411,1.36389342443072,0.279805352798054
"148",2015,"OTHER","Hungary",42533,41728,78767,163028,0.0191076521358373,0.00493780209534558
"149",2015,"DE","Hungary",139,133,151,423,0.0439631234211162,0.0141843971631206
"150",2015,"USA","Hungary",197,79,350,626,0.90998156268089,0.188498402555911
"151",2015,"RU","Hungary",268,108,177,553,0.906100740968405,0.289330922242315
