"","cal_yr","gp","country","npos","nneg","nneu","nmention","log_senti","add_senti"
"79",2004,"FR","Czechia",43,14,53,110,1.09861228866811,0.263636363636364
"80",2004,"USA","Czechia",92,34,162,288,0.986249320481065,0.201388888888889
"81",2004,"RU","Czechia",21,20,34,75,0.0476280489892547,0.0133333333333333
"82",2004,"UK","Czechia",30,34,35,99,-0.123232640423948,-0.0404040404040404
"83",2004,"DE","Czechia",61,59,117,237,0.0330608622608882,0.00843881856540084
"84",2004,"CN","Czechia",5,3,4,12,0.451985123743057,0.166666666666667
"85",2005,"OTHER","Czechia",13858,34745,44331,92934,-0.919151304425768,-0.224750898487098
"86",2005,"USA","Czechia",78,28,124,230,1.01319453751376,0.217391304347826
"87",2005,"UK","Czechia",45,56,95,196,-0.21652831219549,-0.0561224489795918
"88",2005,"RU","Czechia",19,17,33,69,0.108213584640233,0.0289855072463768
"89",2005,"FR","Czechia",65,15,96,176,1.44121011871601,0.284090909090909
"90",2005,"CN","Czechia",23,24,15,62,-0.0416726964005681,-0.0161290322580645
"91",2005,"DE","Czechia",46,89,78,213,-0.654786312687499,-0.2018779342723
"92",2006,"OTHER","Czechia",9499,21752,28298,59549,-0.828489527815585,-0.205763320962569
"93",2006,"DE","Czechia",29,28,62,119,0.0344861760711694,0.00840336134453781
"94",2006,"UK","Czechia",13,17,26,56,-0.259511195485085,-0.0714285714285714
"95",2006,"FR","Czechia",15,5,32,52,1.03609193168678,0.192307692307692
"96",2006,"USA","Czechia",67,32,175,274,0.730887508542792,0.127737226277372
"97",2006,"RU","Czechia",26,19,40,85,0.306730267422475,0.0823529411764706
"98",2006,"CN","Czechia",39,11,42,92,1.23395363653787,0.304347826086957
"99",2007,"OTHER","Czechia",11211,23160,29706,64077,-0.725508204186768,-0.186478767732572
"100",2007,"USA","Czechia",226,112,516,854,0.699791723278614,0.133489461358314
"101",2007,"DE","Czechia",71,113,162,346,-0.462105387221495,-0.121387283236994
"102",2007,"UK","Czechia",33,32,71,136,0.0303053494953288,0.00735294117647059
"103",2007,"FR","Czechia",57,12,60,129,1.52605630349505,0.348837209302326
"104",2007,"RU","Czechia",115,70,148,333,0.493657820143625,0.135135135135135
"105",2007,"CN","Czechia",21,13,9,43,0.465363249689233,0.186046511627907
"106",2008,"OTHER","Czechia",10297,22503,26921,59721,-0.78176970534032,-0.204383717620268
"107",2008,"USA","Czechia",209,107,405,721,0.667232891794475,0.141470180305132
"108",2008,"UK","Czechia",39,23,46,108,0.519300250756963,0.148148148148148
"109",2008,"DE","Czechia",52,59,79,190,-0.125163142954006,-0.0368421052631579
"110",2008,"RU","Czechia",92,52,88,232,0.566395474920801,0.172413793103448
"111",2008,"FR","Czechia",53,20,103,176,0.959256767757598,0.1875
"112",2008,"CN","Czechia",55,46,73,174,0.176930708159078,0.0517241379310345
"113",2009,"OTHER","Czechia",13289,29185,33951,76425,-0.78669776085237,-0.207994766110566
"114",2009,"USA","Czechia",80,69,225,374,0.146930431853771,0.0294117647058824
"115",2009,"CN","Czechia",16,6,7,29,0.931558204004943,0.344827586206897
"116",2009,"DE","Czechia",39,64,92,195,-0.490364551894651,-0.128205128205128
"117",2009,"UK","Czechia",28,26,46,100,0.0727593542824283,0.02
"118",2009,"FR","Czechia",44,23,92,159,0.638488768022081,0.132075471698113
"119",2009,"RU","Czechia",53,28,57,138,0.629777566627356,0.181159420289855
"120",2010,"OTHER","Czechia",10598,23053,27039,60690,-0.777105120062685,-0.205223265776899
"121",2010,"UK","Czechia",45,22,37,104,0.70419701674653,0.221153846153846
"122",2010,"FR","Czechia",28,4,43,75,1.84582669049833,0.32
"123",2010,"DE","Czechia",61,77,68,206,-0.231240761546829,-0.0776699029126214
"124",2010,"USA","Czechia",56,49,118,223,0.132267968577751,0.031390134529148
"125",2010,"RU","Czechia",18,12,28,58,0.392042087776024,0.103448275862069
"126",2010,"CN","Czechia",16,19,34,69,-0.167054084663166,-0.0434782608695652
"127",2011,"OTHER","Czechia",15048,29217,36790,81055,-0.663489526371539,-0.174807229658874
"128",2011,"RU","Czechia",33,37,44,114,-0.112795494145344,-0.0350877192982456
"129",2011,"USA","Czechia",65,36,124,225,0.58473788205276,0.128888888888889
"130",2011,"CN","Czechia",20,20,17,57,0,0
"131",2011,"DE","Czechia",62,125,105,292,-0.697139201829483,-0.215753424657534
"132",2011,"FR","Czechia",48,21,87,156,0.81351086280982,0.173076923076923
"133",2011,"UK","Czechia",42,38,50,130,0.0988458346366326,0.0307692307692308
"134",2012,"OTHER","Czechia",14950,26708,30182,71840,-0.580237122709381,-0.163669265033408
"135",2012,"RU","Czechia",18,22,20,60,-0.195744577126095,-0.0666666666666667
"136",2012,"FR","Czechia",34,9,68,111,1.28966752543082,0.225225225225225
"137",2012,"DE","Czechia",57,135,115,307,-0.857186692516451,-0.254071661237785
"138",2012,"UK","Czechia",28,29,39,96,-0.0344861760711693,-0.0104166666666667
"139",2012,"USA","Czechia",33,28,67,128,0.161641351556416,0.0390625
"140",2012,"CN","Czechia",11,18,19,48,-0.475423696715075,-0.145833333333333
"141",2013,"OTHER","Czechia",8769,16538,18317,43624,-0.634411204028762,-0.178090042178617
