"","year","country","gp","npos","nneg","nneu","nmention","log_senti","add_senti","total_ne","salience","import","export","balance","eu","n_balance","n_import","n_export","election_1","right_wing_gov"
"1",1993,"Czechia","CN",0,4,1,5,-2.19722457733622,-0.8,26349,0.189760522220957,76553.776,251559.648,175005.872,0,1.00448886605608,-0.982728129981891,-0.74299517464232,0,1
"2",1993,"Czechia","RU",22,20,26,68,0.093090423066012,0.0294117647058824,26349,2.58074310220502,1268878.976,575302.784,-693576.192,0,0.845370583585263,-1.2253439032654,-0.979172739689198,0,1
"3",1993,"Czechia","USA",26,22,21,69,0.163629423781802,0.0579710144927536,26349,2.61869520664921,386117.088,236113.184,-150003.904,0,0.000224648085561814,-1.53566602281979,-1.31227019965373,0,1
"4",1994,"Czechia","CN",2,1,3,6,0.510825623765991,0.166666666666667,22072,0.27183762232693,101833.624,85498.992,-16334.632,0,0.984269137515519,-0.980298958937746,-0.914003925092745,0,1
"5",1994,"Czechia","USA",23,9,19,51,0.905708622543618,0.274509803921569,22072,2.31061978977891,506686.336,302512.928,-204173.408,0,-0.159982547371954,-1.44220750252359,-1.2682864859046,0,1
"6",1994,"Czechia","RU",17,24,15,56,-0.336472236621213,-0.125,22072,2.53715114171801,1256498.176,548103.616,-708394.56,0,0.833614428428067,-1.23048165157094,-0.993284801315889,0,1
"7",1994,"Hungary","CN",22,7,11,40,1.09861228866811,0.375,34440,1.16144018583043,99175,11720,-87455,0,1.41748605046671,-1.41336716542073,-1.12801759914039,0,0
"8",1994,"Hungary","RU",46,36,33,115,0.242140052004865,0.0869565217391304,34440,3.33914053426249,1745839,807038,-938801,0,1.07677803867061,-1.04315099786713,-0.866491519979575,0,0
"9",1994,"Hungary","USA",47,41,27,115,0.135036283803943,0.0521739130434783,34440,3.33914053426249,451717,430467,-21250,0,-1.02232737439158,-1.76264276288886,-1.51416676561278,0,0
"10",1995,"Czechia","USA",36,19,16,71,0.626897795018745,0.23943661971831,26759,2.65331290406966,853075.456,415505.856,-437569.6,0,-0.850255608590751,-1.1737060799892,-1.19343907985394,1,1
"11",1995,"Czechia","CN",6,6,4,16,0,0,26759,0.59792966852274,209513.776,94641.312,-114872.464,0,0.973856244414666,-0.969951843430263,-0.904589192204914,1,1
"12",1995,"Czechia","RU",78,65,50,193,0.181048482147157,0.0673575129533679,26759,7.21252662655555,1879137.792,631930.304,-1247207.488,0,0.406147086392076,-0.972100478135959,-0.949792022896439,1,1
"13",1995,"Hungary","CN",8,13,10,31,-0.462623521948113,-0.161290322580645,101020,0.306869926747179,126090,21879,-104211,0,1.40906403747609,-1.40356231009404,-1.11720297742518,0,0
"14",1995,"Hungary","USA",274,189,218,681,0.370562236427104,0.124816446402349,101020,6.74123935854286,474068.992,393596,-80472.992,0,-1.11822795648881,-1.72708251275657,-1.54626572699191,0,0
"15",1995,"Hungary","RU",139,164,155,458,-0.164845968944006,-0.054585152838428,101020,4.53375569194219,1753588.992,802572.992,-951016,0,1.06895764101995,-1.0400993734833,-0.870490985654783,0,0
"16",1996,"Czechia","USA",50,19,28,97,0.951558870711613,0.319587628865979,28394,3.41621469324505,939904.192,463153.376,-476750.816,0,-0.966134696757687,-1.10640131264298,-1.16187698707636,0,1
"17",1996,"Czechia","RU",24,26,33,83,-0.0784716154414952,-0.0240963855421687,28394,2.92315277875608,2059830.144,692735.616,-1367094.528,0,0.311034679710248,-0.897117292452369,-0.918243693544079,0,1
"18",1996,"Czechia","CN",11,9,5,25,0.191055236762709,0.08,28394,0.880467704444601,298185.44,71415.744,-226769.696,0,0.962031609231934,-0.961431276430612,-0.928506810368372,0,1
"19",1996,"Hungary","USA",195,147,140,482,0.281732203645546,0.0995850622406639,117075,4.11701900491138,566001.024,449439.008,-116562.016,0,-1.17666739516021,-1.58082592618073,-1.49765021460856,0,0
"20",1996,"Hungary","CN",34,33,10,77,0.0294138852062934,0.012987012987013,117075,0.657698056801196,191444,15197,-176247,0,1.37285682049159,-1.37975452577227,-1.12431620730027,0,0
"21",1996,"Hungary","RU",119,183,154,456,-0.42889829612306,-0.140350877192982,117075,3.89493914157591,1989187.968,752337.024,-1236850.944,0,0.885957810931312,-0.947330299661592,-0.91548911996425,0,0
"22",1997,"Czechia","USA",72,48,49,169,0.402022763917192,0.142011834319527,55321,3.05489777842049,1030327.36,583262.08,-447065.28,0,-0.878339237744196,-1.03631034316315,-1.08231603492096,1,1
"23",1997,"Czechia","CN",12,28,11,51,-0.824175442966349,-0.313725490196078,55321,0.921892228990799,377578.112,48360.204,-329217.908,0,0.95120549038725,-0.953802338948877,-0.952249334222787,1,1
"24",1997,"Czechia","RU",69,88,79,236,-0.241675799443137,-0.0805084745762712,55321,4.26601109885938,1843298.688,771280.576,-1072018.112,0,0.545133612178747,-0.986972885076378,-0.877491295677131,1,1
"25",1997,"Hungary","USA",198,122,125,445,0.482678070142463,0.170786516853933,111432,3.99346686768612,793585.984,589136,-204449.984,0,-1.31898555582563,-1.21875626796195,-1.37603354158671,1,0
"26",1997,"Hungary","RU",224,384,248,856,-0.53806808176339,-0.186915887850467,111432,7.68181491851533,1833489.024,947353.984,-886135.04,0,1.11049631536758,-1.00863806540459,-0.740805527548871,1,0
"27",1997,"Hungary","CN",19,21,19,59,-0.0976384695639161,-0.0338983050847458,111432,0.529470888075239,287950.016,15251,-272699.016,0,1.32437746194996,-1.34459838514306,-1.12425872235366,1,0
