"","year","country","gp","X","npos","nneg","nneu","nmention","add_senti","import","export","merleg","eu","n_merleg","n_import","n_export","leftright","valasztasi_ev","log_senti","salience"
"1",1994,"Czechia","CN",8,2,3,4,9,-0.111111111111111,101833.624,85498.992,-16334.632,0,1.01506068447781,-1.01085168641208,-0.94369315864009,1,0,-0.587786664902119,0.258205187055313
"2",1994,"Czechia","DE",7,30,31,51,112,-0.00892857142857143,3795427.584,4153086.72,357659.136,0,-0.954794754993706,-1.54007053889528,-1.35732109223948,1,0,-0.159759219486868,6.19692448932752
"3",1994,"Czechia","FR",9,1,0,17,18,0.0555555555555556,547951.104,359271.776,-188679.328,0,-0.952284158058486,-1.6074834557839,-1.30903498127284,1,0,0,0.45903144365389
"4",1994,"Czechia","RU",10,17,8,20,45,0.2,1256498.176,548103.616,-708394.56,0,0.848133480403616,-1.26649094346294,-1.02819892276272,1,0,0.23638877806423,2.12302042689924
"5",1994,"Czechia","UK",12,7,5,13,25,0.08,452211.584,392569.248,-59642.336,0,-1.15865856131877,-1.65623289996708,-1.34593050271197,1,0,0.143100843640673,0.77461556116594
"6",1994,"Czechia","USA",11,14,14,37,65,0,506686.336,302512.928,-204173.408,0,-0.125916730331046,-1.45114597759558,-1.29855697359079,1,0,-0.67116827384117,1.8935047050723
"7",1994,"Hungary","CN",13,4,9,21,34,-0.147058823529412,99175,11720,-87455,0,1.41748605046671,-1.41336716542073,-1.12801759914039,0,0,-0.587786664902119,1.12202862775899
"8",1994,"Hungary","DE",14,13,15,8,36,-0.0555555555555556,3402866,3017454,-385412,0,-1.69542110297365,-1.58299295141294,-1.67104186563169,0,0,-0.422856850820034,1.65098498084537
"9",1994,"Hungary","FR",15,16,2,24,42,0.333333333333333,497164,379665,-117499,0,-0.953826126457739,-1.72195795720453,-1.64185491817774,0,0,0.676886659688165,1.31437639251767
"10",1994,"Hungary","RU",16,15,7,31,53,0.150943396226415,1745839,807038,-938801,0,1.07677803867061,-1.04315099786713,-0.866491519979575,0,0,0.083381608939051,1.93950662798339
"11",1994,"Hungary","UK",18,5,5,10,20,0,571116,464736,-106380,0,-1.4104268205735,-1.64611283835771,-1.55110824480335,0,0,-0.769133087537867,0.705275137448507
"12",1994,"Hungary","USA",17,29,9,37,75,0.266666666666667,451717,430467,-21250,0,-1.02232737439158,-1.76264276288886,-1.51416676561278,0,0,0.341303163890879,1.90744866719028
"13",1995,"Czechia","CN",20,7,8,6,21,-0.0476190476190476,209513.776,94641.312,-114872.464,0,1.00485615744467,-1.00072133485776,-0.934544989509738,1,0,0.310154928303839,0.430890027289702
"14",1995,"Czechia","DE",22,35,57,98,190,-0.115789473684211,8015698.432,8144916.992,129218.56,0,-0.982866857712235,-1.24720979366652,-1.17649134438385,1,0,-0.665640534770112,7.97146550485948
"15",1995,"Czechia","FR",24,12,19,30,61,-0.114754098360656,1018422.4,570171.52,-448250.88,0,-1.08161198075229,-1.35012279508556,-1.25211100612558,1,0,-0.0555698511548108,1.72356010915881
"16",1995,"Czechia","RU",19,57,30,90,177,0.152542372881356,1879137.792,631930.304,-1247207.488,0,0.412825794793828,-1.00548954989186,-0.984481053008224,1,0,0.264301623807717,5.74520036386269
"17",1995,"Czechia","UK",23,10,10,13,33,0,953369.984,687870.72,-265499.264,0,-1.24690428233964,-1.19309941409278,-1.25751081129631,1,0,-0.176930708159078,1.14904007277254
"18",1995,"Czechia","USA",21,18,21,45,84,-0.0357142857142857,853075.456,415505.856,-437569.6,0,-0.816822948087408,-1.19201236245234,-1.2245384835617,1,0,-0.0400053346136991,2.20232680614736
"19",1995,"Hungary","CN",25,15,15,8,38,0,126090,21879,-104211,0,1.40906403747609,-1.40356231009404,-1.11720297742518,0,0,0.251314428280906,0.194384572725558
"20",1995,"Hungary","DE",27,45,60,88,193,-0.077720207253886,3602394.88,3633420.032,31025.1520000002,0,-1.43154208050798,-1.5619471618656,-1.61283475260373,0,0,-0.35707972030532,2.89861701093699
"21",1995,"Hungary","FR",28,53,27,78,158,0.164556962025316,605937.984,513500,-92437.9840000001,0,-0.912673205127464,-1.64638213873823,-1.57002682908434,0,0,0.256107726853186,2.21255381308208
"22",1995,"Hungary","RU",26,85,54,95,234,0.132478632478632,1753588.992,802572.992,-951016,0,1.06895764101995,-1.0400993734833,-0.870490985654783,0,0,-0.0153064212826755,3.30453773633448
"23",1995,"Hungary","UK",30,22,16,25,63,0.0952380952380952,441336.992,382928.992,-58408,0,-1.36931858506955,-1.88170196178308,-1.60081665348988,0,0,0.0755075525081451,0.468809851867521
"24",1995,"Hungary","USA",29,136,59,209,404,0.190594059405941,474068.992,393596,-80472.992,0,-1.11822795648881,-1.72708251275657,-1.54626572699191,0,0,-0.14671570133974,4.22500586012315
"25",1996,"Czechia","CN",36,9,9,10,28,0,298185.44,71415.744,-226769.696,0,0.993268137841436,-0.992379267052863,-0.957785416908089,1,0,0.646627164925052,0.595892922625596
"26",1996,"Czechia","DE",31,34,63,91,188,-0.154255319148936,8262071.296,7891972.096,-370099.2,0,-1.04422591963259,-1.23011303775822,-1.18794973781453,1,0,-0.843178390091965,8.52585258525853
"27",1996,"Czechia","FR",34,19,3,296,318,0.050314465408805,1162057.984,628185.088,-533872.896,0,-1.12427192872661,-1.27155020391513,-1.2364525570426,1,0,1.28519824424852,7.9987165383205
"28",1996,"Czechia","RU",33,21,18,20,59,0.0508474576271186,2059830.144,692735.616,-1367094.528,0,0.315968894736285,-0.929745966496689,-0.952769449295604,1,0,-0.291910408561302,2.24605793912725
